1,%C3%81lvaro_Morata.html,Real Madrid Castilla C. F
2,%C3%81lvaro_Morata.html,Real Madrid Club de Fútbol
3,%C3%81lvaro_Morata.html,Grupo
4,%C3%81lvaro_Morata.html,Atlético de Madrid
5,%C3%81lvaro_Morata.html,Real Madrid Club de FútbolC
6,%C3%81lvaro_Morata.html,Getafe Club de Fútbol
7,%C3%81lvaro_Morata.html,Real Madrid
8,%C3%81lvaro_Morata.html,Juvenil
9,%C3%81lvaro_Morata.html,Fundación Atlético de Madrid
10,%C3%81rea_metropolitana_de_Madrid.html,Comunidad
11,%C3%81rea_metropolitana_de_Madrid.html,Asamblea de Madrid
12,%C3%81rea_metropolitana_de_Madrid.html,Ministerio de Administraciones Públicas
13,%C3%81rea_metropolitana_de_Madrid.html,Unión Europea
14,%C3%81rea_metropolitana_de_Madrid.html,CAM
15,%C3%81rea_metropolitana_de_Par%C3%ADs.html,Unión Europea
16,%C3%81rea_metropolitana_de_Par%C3%ADs.html,Francia
17,%C3%81rea_metropolitana_de_Par%C3%ADs.html,IN
18,%C3%81rea_metropolitana_de_Par%C3%ADs.html,SEE
19,%C3%81rea_metropolitana_de_Par%C3%ADs.html,Instituto Nacional de Estadística y de Estudios Económicos
20,%C3%81rea_metropolitana_de_Par%C3%ADs.html,SE
21,%C3%81rea_metropolitana_de_Par%C3%ADs.html,Eurostat
22,1972.html,Organización de las Naciones Unidas
23,1972.html,PER
24,2018.html,Organización de las Naciones Unidas
25,20_minutos.html,Grupo Henneo
26,20_minutos.html,Grupo Schibsted
27,20_minutos.html,ibted
28,20_minutos.html,Sch
29,20_minutos.html,"20 Minutos Editora, S.L"
30,20_minutos.html,20
31,20_minutos.html,20 Min Holding
32,20_minutos.html,Multiprensa y Más
33,A-3.html,"Ministerio de Transportes, Movilidad y Agenda Urbana"
34,A-5.html,Ayuntamiento de Madrid
35,A-6.html,"Ministerio de Transportes, Movilidad y Agenda Urbana"
36,Abderram%C3%A1n_III.html,Estado
37,Abu_Dabi.html,Abu Dhabi Securities Exchange
38,Abu_Dabi.html,Gobierno
39,Abu_Dabi.html,Emiratos Unidos
40,Abu_Dabi.html,Academia de la Lengua
41,Abu_Dabi.html,Banco Central de los Emiratos Árabes Unidos
42,Abu_Dabi.html,Emiratos Árabes Unidos
43,Aceite_vegetal.html,Universidad de Indiana-Universidad Purdue Fort Wayne
